data,forecast_ensemble,forecast_gru,forecast_lstm,forecast_gbrt,ic68_inf,ic68_sup,ic95_inf,ic95_sup
2037-08-01,283820.8609633452,285650.9572881831,281279.04758814775,284532.5780137048,189674.43957637495,377967.2823503155,99293.87504488349,468347.8468818069
2037-09-01,294848.7878242174,295236.31685437675,295096.7214339971,294213.32518427836,196731.30969815212,392966.2659502827,102538.53069712943,487159.0449513054
2037-10-01,287028.81337259256,287403.7391947114,287277.8495326473,286404.85139041895,191209.89958404066,382847.72716114443,99223.74234703081,474833.8843981543
2037-11-01,288185.25368836196,288499.35501187446,288384.53154923423,287671.87450397713,191676.31918357487,384694.18819314905,99027.74205897925,477342.7653177447
2037-12-01,393137.427720492,393557.1452631616,393414.4968214312,392440.64107688324,261068.21547175557,525206.6399692284,134281.7717129686,651993.0837280154
2038-01-01,292062.1194294487,292344.9046638442,292246.8652175085,291594.58840699325,193641.6629916452,390482.57586725213,99158.02481135385,484966.21404754353
2038-02-01,310018.24612787674,310314.74523663655,310216.8388891963,309523.15425779746,205222.9072005874,414813.5850551661,104619.38183038966,515417.1104253638
2038-03-01,307337.1925960796,307628.6714562445,307535.8877566622,306847.01857533207,203127.97712397587,411546.40806818334,103087.13027075626,511587.2549214029
2038-04-01,348270.31410792074,348598.7978360193,348496.9724176793,347715.1720700637,229820.17203806862,466720.45617777284,116108.03565101058,580432.5925648309
2038-05-01,466850.81285385136,467289.5809312943,467156.10055122705,466106.75707903266,307586.93142249016,626114.6942852126,154693.60524838342,779008.0204593192
2038-06-01,414195.43380994356,414583.8222066041,414467.245749256,413535.2334739706,272467.14122746594,555923.7263924212,136407.9803482874,691982.8872715997
2038-07-01,319199.21974890266,319498.07091936533,319409.26216326136,318690.32616408134,209647.9890006735,428750.4504971318,104478.80748237351,533919.6320154318
2038-08-01,315219.5361163126,315514.3618110775,315427.3788267137,314716.8677111466,206710.73358592743,423728.33864669775,102542.2831567577,527896.7890758675
2038-09-01,325121.8922822134,320248.80685763084,327720.9539326593,327395.91605635,212871.7834891247,437372.0010753021,105111.67904775958,545132.1055166671
2038-10-01,316437.22211009054,311764.5136028083,319028.334584244,318518.8181432194,206862.79004238598,426011.6541777951,101671.33525738967,531203.1089627915
2038-11-01,317437.21752757777,313035.6762257609,320312.14322510234,318963.83313187014,207193.68947497083,427680.74558018474,101359.90254446816,533514.5325106874
2038-12-01,433493.26865447283,427060.1166825662,436961.2849557446,436458.4043251078,282504.79812691844,584481.7391820272,137555.86642046628,729430.6708884794
2039-01-01,322046.0548548458,317276.17482132936,324616.6810502504,324245.3086929576,209549.7547397025,434542.3549699891,101553.30662916492,542538.8030805266
